001A,001A,10,10,0.8719137907028198
002A,002A,5,5,0.9321214556694031
003A,003A,8,8,0.876313328742981
004A,004A,5,5,0.9731934070587158
005A,005A,10,10,0.840013861656189
006A,006A,5,18,0.5092378258705139
007A,007A,10,10,0.8930420875549316
008A,008A,5,5,0.934312105178833
009A,009A,7,7,0.9472046494483948
010A,010A,7,7,0.8270223736763
011A,011A,8,8,0.863591194152832
012A,012A,5,5,0.9469758868217468
013A,013A,10,10,0.909393310546875
014A,014A,5,5,0.9570788741111755
015A,015A,5,5,0.8342114686965942
016A,016A,7,7,0.9164410829544067
017A,017A,7,7,0.9604652523994446
018A,018A,5,5,0.8189778327941895
019A,019A,5,5,0.9547155499458313
020A,020A,5,5,0.9004166722297668
021A,021A,10,10,0.9393545985221863
022A,022A,5,5,0.8933345675468445
023A,023A,7,7,0.9334022402763367
024A,024A,10,10,0.897732675075531
025A,025A,5,5,0.9647583961486816
026A,026A,5,5,0.9271121621131897
027A,027A,5,5,0.9509704113006592
028A,028A,5,5,0.9665420651435852
029A,029A,7,7,0.9511880874633789
030A,030A,7,7,0.9592694044113159
031A,031A,10,5,0.8574007749557495
032A,032A,5,5,0.8607559204101562
033A,033A,5,5,0.8861228823661804
034A,034A,7,7,0.9591410756111145
035A,035A,5,5,0.9346572756767273
036A,036A,7,7,0.9608474969863892
037A,037A,5,5,0.9172696471214294
038A,038A,10,10,0.8817428946495056
039A,039A,5,5,0.942865788936615
040A,040A,3,3,0.9824305772781372
041A,041A,5,5,0.9151260256767273
042A,042A,5,5,0.9285838603973389
043A,043A,7,7,0.8833582401275635
044A,044A,5,5,0.9149767160415649
045A,045A,5,5,0.9476187825202942
047A,047A,5,5,0.8952588438987732
048A,048A,9,9,0.9214736223220825
049A,049A,10,5,0.8551258444786072
051A,051A,5,5,0.9041563272476196
053A,053A,5,5,0.7731414437294006
054A,054A,5,5,0.6089500188827515
055A,055A,5,5,0.937346875667572
056A,056A,5,5,0.9286685585975647
057A,057A,7,7,0.6153759360313416
058A,058A,5,5,0.9693242311477661
059A,059A,6,3,0.6264731884002686
060A,060A,10,10,0.9352899193763733
061A,061A,5,5,0.9313703775405884
062A,062A,3,3,0.9460548758506775
063A,063A,5,5,0.9288387894630432
064A,064A,5,12,0.5271276235580444
065A,065A,5,5,0.8957148194313049
066A,066A,7,7,0.9416733980178833
067A,067A,8,8,0.905178964138031
068A,068A,7,7,0.8442239761352539
069A,069A,7,11,0.7392881512641907
070A,070A,5,5,0.8724610805511475
071A,071A,10,10,0.9468581080436707
072A,072A,6,6,0.9781030416488647
073A,073A,7,7,0.9610453844070435
074A,074A,3,3,0.8985347151756287
075A,075A,5,5,0.88367760181427
076A,076A,5,5,0.9172407984733582
077A,077A,5,5,0.7949014902114868
078A,078A,7,7,0.9335916042327881
079A,079A,5,5,0.8777343034744263
080A,080A,7,7,0.9474068880081177
081A,081A,5,5,0.9422704577445984
082A,082A,8,8,0.9620184302330017
083A,083A,7,7,0.7913278341293335
084A,084A,7,7,0.9657395482063293
085A,085A,5,5,0.9187044501304626
086A,086A,5,5,0.9433138370513916
087A,087A,5,5,0.8942861557006836
089A,089A,7,7,0.9546499252319336
090A,090A,5,5,0.9366680383682251
091A,091A,5,5,0.9042558670043945
092A,092A,9,9,0.9739684462547302
093A,093A,6,6,0.9412678480148315
094A,094A,7,7,0.8607653975486755
095A,095A,5,5,0.8651291131973267
